Lake,30077,83
Lapeer,41744,26
Leelanau,63559,2
Lenawee,37956,46
Livingston,55861,5
Luce,30252,82
Mackinac,42130,24
Macomb,44645,17
Manistee,36867,51
Marquette,38349,42
Mason,39357,32
Mecosta,32527,77
Menominee,41393,27
Midland,58229,3
Missaukee,33883,72
Monroe,45498,14
Montcalm,33571,72
Montmorency,35483,63
Muskegon,37207,48
Newaygo,36579,54
Oakland,69410,1
Oceana,36225,58
Ogemaw,33065,70
Ontonagon,38027,40
Osceola,34148,68
Oscoda,32189,79
Otsego,38670,37
Ottawa,47043,10
Presque Isle,37515,49
Roscommon,35282,64
Saginaw,37286,52
St. Clair,42381,25
St. Joseph,37161,50
Sanilac,36266,55
Schoolcraft,37916,43
Shiawassee,37681,47
Tuscola,35719,56
Van Buren,39606,33
Washtenaw,56729,4
Wayne,41115,29
Wexford,34847,67
,,
Minnesota,54919,0
Aitkin,37916,84
Anoka,49157,33
Becker,45639,56
Beltrami,39503,83
Benton,42321,71
Big Stone,51112,11
Blue Earth,43134,65
Brown,50290,23
Carlton,41096,76
Carver,68645,2
Cass,45372,54
Chippewa,46955,38
Chisago,46871,45
Clay,41400,75
Clearwater,41620,69
Cook,52629,16
Cottonwood,44907,52
Crow Wing,43526,61
Dakota,58016,5
Dodge,43890,51
Douglas,51082,20
