,County-equivalent,State,Per capitaincome,Medianhouseholdincome,Medianfamilyincome,Population,Number ofhouseholds,fips
2403,Johnston,Oklahoma,19967.0,36192.0,39876.0,"10,982","4,248",40069
2404,Howard,Texas,19965.0,45612.0,58661.0,"35,297","11,010",48227
2405,Webster,Missouri,19955.0,44596.0,50033.0,"36,274","12,668",29225
2406,Branch,Michigan,19947.0,41856.0,50701.0,"44,398","15,862",26023
2407,Madison,Georgia,19939.0,42549.0,50554.0,"28,044","9,732",13195
2408,Lassen,California,19931.0,53107.0,65616.0,"34,018","9,945",06035
2409,Wilson,Kansas,19929.0,38917.0,48174.0,"9,269","3,791",20205
2410,Laurel,Kentucky,19923.0,36570.0,43075.0,"59,178","22,931",21125
2411,Pope,Arkansas,19918.0,40453.0,47074.0,"62,248","22,603",05115
2412,Montgomery,Illinois,19917.0,41952.0,54529.0,"29,878","11,192",17135
2413,Love,Oklahoma,19910.0,43260.0,50761.0,"9,496","3,378",40085
2414,Acadia,Louisiana,19910.0,37587.0,46159.0,"61,847","22,527",22001
2415,Lewis,Idaho,19910.0,36000.0,48894.0,"3,851","1,660",16061
2416,Madison,North Carolina,19902.0,38598.0,49806.0,"20,842","8,207",37115
2417,Logan,West Virginia,19901.0,36999.0,47700.0,"36,442","14,699",54045
2418,Martinsville City,Virginia,19900.0,28116.0,40875.0,"13,808","5,995",51690
2419,Karnes,Texas,19899.0,42862.0,55603.0,"14,916","4,497",48255
2420,Daviess,Missouri,19890.0,42393.0,51500.0,"8,347","3,151",29061
2421,Little River,Arkansas,19880.0,39673.0,48406.0,"12,992","5,315",05081
2422,Otero,New Mexico,19880.0,39263.0,46828.0,"64,767","23,945",35035
2423,Boundary,Idaho,19877.0,37003.0,44390.0,"10,866","4,144",16021
2424,Webster,Louisiana,19871.0,35071.0,44436.0,"41,039","15,980",22119
2425,Muskogee,Oklahoma,19868.0,38502.0,48251.0,"70,657","26,802",40101
2426,Pulaski,Illinois,19867.0,33717.0,45764.0,"6,035","2,419",17153
2427,Potter,Texas,19861.0,37951.0,46243.0,"121,526","42,751",48375
2428,Mineral,Montana,19859.0,33033.0,45331.0,"4,219","1,629",30061
2429,Wayne,Utah,19858.0,41458.0,48125.0,"2,760",970,49055
2430,Baker,Florida,19852.0,49236.0,58850.0,"27,069","8,216",12003
2431,Henry,Virginia,19852.0,34984.0,43284.0,"53,451","22,690",51089
2432,Franklin,Florida,19843.0,38328.0,48661.0,"11,554","4,294",12037
2433,Washington County,Kentucky,19837.0,40845.0,48578.0,"11,774","4,480",21229
2434,Randolph,Alabama,19830.0,35213.0,45076.0,"22,819","9,013",01111
2435,Grant,Kentucky,19829.0,46159.0,51866.0,"24,685","8,334",21081
2436,Hardeman,Texas,19829.0,36377.0,45750.0,"4,087","1,745",48197
2437,Desha,Arkansas,19822.0,28680.0,39937.0,"12,774","5,305",05041
2438,Sullivan,Indiana,19821.0,43510.0,55748.0,"21,321","7,764",18153
2439,Craig,Oklahoma,19820.0,39236.0,50231.0,"14,869","5,603",40035
2440,Greene,Tennessee,19801.0,35545.0,43400.0,"68,679","28,677",47059
2441,Livingston,Kentucky,19795.0,40313.0,47075.0,"9,467","3,569",21139
2442,Haralson,Georgia,19789.0,39993.0,49077.0,"28,594","10,806",13143
2443,Lyon,Kansas,19789.0,38981.0,51106.0,"33,624","13,170",20111
2444,Mineral,West Virginia,19788.0,31163.0,48910.0,"28,015","11,180",54057
2445,Spalding,Georgia,19783.0,41534.0,50251.0,"64,011","22,997",13255
2446,Houghton,Michigan,19783.0,35430.0,52409.0,"36,494","14,029",26061
2447,Graham,North Carolina,19780.0,33903.0,39580.0,"8,762","3,462",37075
2448,Starke,Indiana,19773.0,40126.0,46205.0,"23,267","8,964",18149
2449,Christian,Kentucky,19773.0,38904.0,45583.0,"74,169","25,899",21047
2450,Moore,Texas,19770.0,51181.0,53653.0,"22,029","6,820",48341
2451,Ashley,Arkansas,19761.0,35683.0,45612.0,"21,645","8,656",05003
2452,Lenoir,North Carolina,19760.0,35770.0,45306.0,"59,277","23,569",37107
2453,Okmulgee,Oklahoma,19753.0,39156.0,48720.0,"39,747","15,124",40111
2454,Dallam,Texas,19752.0,40895.0,44301.0,"6,854","2,375",48111
2455,Coal,Oklahoma,19752.0,34867.0,44888.0,"5,927","2,328",40029
2456,Barren,Kentucky,19745.0,38873.0,51272.0,"42,504","16,584",21009
2457,McMinn,Tennessee,19744.0,39410.0,48576.0,"52,338","20,313",47107
2458,Liberty,Texas,19740.0,47228.0,54581.0,"76,013","24,844",48291
2459,Grant,Washington,19738.0,45949.0,52848.0,"90,202","30,012",53025
2460,Powell,Montana,19736.0,40802.0,49342.0,"7,052","2,411",30077
2461,Forrest,Mississippi,19736.0,36726.0,46827.0,"75,991","27,822",28035
2462,Russell,Virginia,19735.0,33872.0,43459.0,"28,646","11,191",51167
2463,Vernon,Missouri,19734.0,38679.0,48014.0,"20,990","7,999",29217
2464,Yukon-Koyukuk Census Area,Alaska,19729.0,34710.0,46875.0,"5,656","2,056",02290
2465,Saluda,South Carolina,19725.0,38514.0,44705.0,"19,895","7,020",45081
2466,Alger,Michigan,19717.0,37586.0,46083.0,"9,497","3,607",26003
2467,Benton,Missouri,19717.0,32951.0,42896.0,"19,008","8,225",29015
2468,Perry,Illinois,19716.0,42078.0,53689.0,"22,182","7,982",17145
2469,Pike,Alabama,19715.0,33090.0,46574.0,"32,977","12,959",01109
2470,Emporia City,Virginia,19710.0,32155.0,41429.0,"5,773","2,488",51595
2471,Pettis,Missouri,19709.0,38580.0,49064.0,"42,146","16,212",29159
2472,Castro,Texas,19708.0,36402.0,40595.0,"8,046","2,588",48069
2473,Lincoln,Colorado,19703.0,41910.0,51875.0,"5,442","1,845",08073
2474,Burke,North Carolina,19701.0,37263.0,49127.0,"90,591","34,664",37023
2475,Audrain,Missouri,19687.0,43013.0,53564.0,"25,584","9,327",29007
2476,Russell,Alabama,19678.0,36143.0,42730.0,"55,544","21,142",01113
2477,Miller,Georgia,19674.0,32260.0,41058.0,"6,054","2,458",13201
2478,Caldwell,Texas,19673.0,44152.0,51289.0,"38,465","11,593",48055
2479,Crittenden,Arkansas,19665.0,37751.0,48372.0,"50,447","18,309",05035
2480,Montmorency,Michigan,19661.0,35261.0,42632.0,"9,598","4,128",26119
2481,Greene,Arkansas,19652.0,38413.0,48011.0,"42,580","16,603",05055
2482,Monroe,Tennessee,19643.0,37595.0,44907.0,"44,857","17,523",47123
2483,Appling,Georgia,19643.0,36786.0,44610.0,"18,354","6,934",13001
2484,Ogemaw,Michigan,19634.0,34619.0,42137.0,"21,537","8,998",26129
2485,Hardin,Ohio,19626.0,40415.0,52144.0,"31,886","11,504",39065
2486,Swain,North Carolina,19626.0,36094.0,51589.0,"14,017","5,368",37173
2487,Danville City,Virginia,19626.0,30786.0,40768.0,"42,996","18,659",51590
2488,Valencia,New Mexico,19623.0,42506.0,51686.0,"76,461","26,894",35061
2489,Tyler,Texas,19612.0,39940.0,45162.0,"21,619","8,224",48457
2490,LaRue,Kentucky,19611.0,39753.0,50559.0,"14,149","5,221",21123
2491,Jefferson,Idaho,19598.0,52023.0,56195.0,"26,389","8,058",16051
2492,Minidoka,Idaho,19597.0,43266.0,49733.0,"20,104","6,994",16067
2493,Randolph,West Virginia,19595.0,37276.0,48547.0,"29,399","11,163",54083
